system:time_start,NDVI
26-Jun-05,0.7108241
12-Jul-05,0.8161813
28-Jul-05,0.8115489
13-Aug-05,0.7898236
29-Aug-05,0.767872
14-Sep-05,0.758419
30-Sep-05,0.7308811
16-Oct-05,0.7119417
1-Nov-05,0.6574752
17-Nov-05,0.5899017
3-Dec-05,0.5465057
19-Dec-05,0.5486192
1-Jan-06,0.5151256
17-Jan-06,0.5111617
2-Feb-06,0.4981619
18-Feb-06,0.4917466
6-Mar-06,0.5168518
22-Mar-06,0.5222038
7-Apr-06,0.6734447
23-Apr-06,0.7642462
9-May-06,0.7823117
25-May-06,0.7671272
10-Jun-06,0.7715847
26-Jun-06,0.7592791
12-Jul-06,0.7833608
28-Jul-06,0.7276192
13-Aug-06,0.7583867
29-Aug-06,0.7306487
14-Sep-06,0.7346982
30-Sep-06,0.7361569
16-Oct-06,0.6804535
1-Nov-06,0.6495335
17-Nov-06,0.591525
3-Dec-06,0.5559935
19-Dec-06,0.5811432
1-Jan-07,0.547511
17-Jan-07,0.5431415
2-Feb-07,0.5247697
18-Feb-07,0.5249794
6-Mar-07,0.561127
22-Mar-07,0.6521648
7-Apr-07,0.7126492
23-Apr-07,0.7536317
9-May-07,0.7395378
25-May-07,0.7653917
10-Jun-07,0.7721637
26-Jun-07,0.7266784
12-Jul-07,0.7795117
28-Jul-07,0.7672446
13-Aug-07,0.7382875
29-Aug-07,0.7489944
14-Sep-07,0.7584534
30-Sep-07,0.7329561
16-Oct-07,0.7234713
1-Nov-07,0.6585768
17-Nov-07,0.5941667
3-Dec-07,0.5714914
19-Dec-07,0.5513623
1-Jan-08,0.5381892
17-Jan-08,0.5296712
2-Feb-08,0.5305895
18-Feb-08,0.5189415
5-Mar-08,0.5328414
21-Mar-08,0.5439395
6-Apr-08,0.6343869
22-Apr-08,0.7280772
8-May-08,0.7516685
24-May-08,0.7853775
9-Jun-08,0.7957458
25-Jun-08,0.770858
11-Jul-08,0.7654766
27-Jul-08,0.7715406
12-Aug-08,0.8123935
28-Aug-08,0.7952171
13-Sep-08,0.7754486
29-Sep-08,0.7475408
15-Oct-08,0.7180886
31-Oct-08,0.6186396
16-Nov-08,0.5878151
2-Dec-08,0.5450638
18-Dec-08,0.5512392
1-Jan-09,0.5339276
17-Jan-09,0.5254544
2-Feb-09,0.5038561
18-Feb-09,0.512862
6-Mar-09,0.540928
22-Mar-09,0.6173304
7-Apr-09,0.6763599
23-Apr-09,0.7384264
9-May-09,0.7905455
25-May-09,0.7830018
10-Jun-09,0.7852936
26-Jun-09,0.7693226
12-Jul-09,0.7960775
28-Jul-09,0.8086452
13-Aug-09,0.8089548
29-Aug-09,0.7990431
14-Sep-09,0.7205741
30-Sep-09,0.7538502
16-Oct-09,0.7275171
1-Nov-09,0.6142599
17-Nov-09,0.6011146
3-Dec-09,0.5656689
19-Dec-09,0.5624427
1-Jan-10,0.5496467
17-Jan-10,0.5170729
2-Feb-10,0.503544
18-Feb-10,0.492788
6-Mar-10,0.5194208
22-Mar-10,0.5674115
7-Apr-10,0.6948158
23-Apr-10,0.7725222
9-May-10,0.783168
25-May-10,0.810886
10-Jun-10,0.796024
26-Jun-10,0.8089658
12-Jul-10,0.7870512
28-Jul-10,0.7769232
13-Aug-10,0.7751773
29-Aug-10,0.7557534
14-Sep-10,0.7117403
30-Sep-10,0.6491854
16-Oct-10,0.6410309
1-Nov-10,0.619178
17-Nov-10,0.5610379
3-Dec-10,0.5533308
19-Dec-10,0.5573595
1-Jan-11,0.5396756
17-Jan-11,0.5186258
2-Feb-11,0.5058873
18-Feb-11,0.5379889
6-Mar-11,0.5488558
22-Mar-11,0.5783529
7-Apr-11,0.7034125
23-Apr-11,0.7810644
9-May-11,0.7840559
25-May-11,0.7645694
10-Jun-11,0.7811937
26-Jun-11,0.799583
12-Jul-11,0.7999874
28-Jul-11,0.8070254
13-Aug-11,0.7960945
29-Aug-11,0.7602296
14-Sep-11,0.7769776
30-Sep-11,0.7516353
16-Oct-11,0.699879
1-Nov-11,0.5922645
17-Nov-11,0.5934385
3-Dec-11,0.574828
19-Dec-11,0.5470105
1-Jan-12,0.5427708
17-Jan-12,0.5503647
2-Feb-12,0.5457121
18-Feb-12,0.5389065
5-Mar-12,0.5529667
21-Mar-12,0.7039627
6-Apr-12,0.7996355
22-Apr-12,0.7785994
8-May-12,0.7820787
24-May-12,0.7805792
9-Jun-12,0.7850963
25-Jun-12,0.7572823
11-Jul-12,0.7839096
27-Jul-12,0.8006488
12-Aug-12,0.8010393
28-Aug-12,0.7914151
13-Sep-12,0.7666945
29-Sep-12,0.747622
15-Oct-12,0.7021399
31-Oct-12,0.6243015
16-Nov-12,0.5809258
2-Dec-12,0.5721104
18-Dec-12,0.5964353
1-Jan-13,0.5669817
17-Jan-13,0.5569895
2-Feb-13,0.5446821
18-Feb-13,0.5277922
6-Mar-13,0.5252105
22-Mar-13,0.5591736
7-Apr-13,0.6864584
23-Apr-13,0.7410033
9-May-13,0.8012574
25-May-13,0.7842949
10-Jun-13,0.8092575
26-Jun-13,0.8124664
12-Jul-13,0.8442894
28-Jul-13,0.828098
13-Aug-13,0.8141507
29-Aug-13,0.7865152
14-Sep-13,0.7530871
30-Sep-13,0.7560474
16-Oct-13,0.73078
1-Nov-13,0.6700952
17-Nov-13,0.5873236
3-Dec-13,0.5807659
19-Dec-13,0.5601279
1-Jan-14,0.5139477
17-Jan-14,0.516033
2-Feb-14,0.4977169
18-Feb-14,0.5096436
6-Mar-14,0.5338601
22-Mar-14,0.5442544
7-Apr-14,0.6209264
23-Apr-14,0.7401703
9-May-14,0.7730674
25-May-14,0.6920781
10-Jun-14,0.7800674
26-Jun-14,0.776647
12-Jul-14,0.8266377
28-Jul-14,0.8115514
13-Aug-14,0.7454846
29-Aug-14,0.7655366
14-Sep-14,0.7529368
30-Sep-14,0.7169414
16-Oct-14,0.7279336
1-Nov-14,0.6785265
17-Nov-14,0.5841097
3-Dec-14,0.5520929
19-Dec-14,0.5853595
1-Jan-15,0.5547016
17-Jan-15,0.5198924
2-Feb-15,0.5066488
18-Feb-15,0.5311906
6-Mar-15,0.5179474
22-Mar-15,0.6057099
7-Apr-15,0.7083695
23-Apr-15,0.7671227
9-May-15,0.7944067
25-May-15,0.765118
10-Jun-15,0.7718108
26-Jun-15,0.7918529
12-Jul-15,0.7931821
28-Jul-15,0.7815461
13-Aug-15,0.7926329
29-Aug-15,0.7491621
14-Sep-15,0.753884
30-Sep-15,0.6836991
16-Oct-15,0.6487829
1-Nov-15,0.6473577
17-Nov-15,0.6219366
3-Dec-15,0.5937757
19-Dec-15,0.6039288
1-Jan-16,0.5813282
17-Jan-16,0.5737545
2-Feb-16,0.5293401
18-Feb-16,0.5359915
5-Mar-16,0.5437738
21-Mar-16,0.6369484
6-Apr-16,0.6686087
22-Apr-16,0.8005259
8-May-16,0.7836518
24-May-16,0.7785374
9-Jun-16,0.784628
25-Jun-16,0.8158934
11-Jul-16,0.8100806
27-Jul-16,0.7839153
12-Aug-16,0.8080915
28-Aug-16,0.7691934
13-Sep-16,0.7489374
29-Sep-16,0.7270969
15-Oct-16,0.6709962
31-Oct-16,0.6278715
16-Nov-16,0.6160745
2-Dec-16,0.5560878
18-Dec-16,0.5496117
1-Jan-17,0.5518171
17-Jan-17,0.5497891
2-Feb-17,0.5287637
18-Feb-17,0.5641753
6-Mar-17,0.5711574
22-Mar-17,0.6369484
7-Apr-17,0.6910833
23-Apr-17,0.7769009
9-May-17,0.8114131
25-May-17,0.8102707
10-Jun-17,0.8010665
26-Jun-17,0.8192778
12-Jul-17,0.8012092
28-Jul-17,0.8038778
13-Aug-17,0.7956545
29-Aug-17,0.7890837
14-Sep-17,0.7746859
30-Sep-17,0.7620145
16-Oct-17,0.7483585
1-Nov-17,0.6616384
17-Nov-17,0.6433216
3-Dec-17,0.5947041
19-Dec-17,0.5508341
1-Jan-18,0.5514748
17-Jan-18,0.534785
2-Feb-18,0.515482
18-Feb-18,0.5575301
6-Mar-18,0.5591422
22-Mar-18,0.5752192
7-Apr-18,0.7015937
23-Apr-18,0.7736963
9-May-18,0.7927845
25-May-18,0.8085518
10-Jun-18,0.7953553
26-Jun-18,0.792133
12-Jul-18,0.8061544
28-Jul-18,0.7810037
13-Aug-18,0.7706524
29-Aug-18,0.7702298
14-Sep-18,0.779821
30-Sep-18,0.7731391
16-Oct-18,0.7644105
1-Nov-18,0.7132381
17-Nov-18,0.6570116
3-Dec-18,0.5971614
19-Dec-18,0.6143527
1-Jan-19,0.6120752
17-Jan-19,0.5988721
2-Feb-19,0.5894992
18-Feb-19,0.570976
6-Mar-19,0.5707812
22-Mar-19,0.6134695
7-Apr-19,0.735275
23-Apr-19,0.8028198
9-May-19,0.8039714
25-May-19,0.8055183
10-Jun-19,0.7727446
26-Jun-19,0.8128258
12-Jul-19,0.8258005
28-Jul-19,0.8069391
13-Aug-19,0.815901
29-Aug-19,0.8051304
14-Sep-19,0.7720488
30-Sep-19,0.7379082
16-Oct-19,0.7504538
1-Nov-19,0.7045895
17-Nov-19,0.5990949
3-Dec-19,0.5965591
19-Dec-19,0.5744558
1-Jan-20,0.5684725
17-Jan-20,0.5829257
2-Feb-20,0.5682689
18-Feb-20,0.5522578
5-Mar-20,0.5881474
21-Mar-20,0.7375418
6-Apr-20,0.7843014
22-Apr-20,0.7961923
8-May-20,0.7798169
24-May-20,0.8115703
9-Jun-20,0.793257
25-Jun-20,0.7626961
11-Jul-20,0.8381883
27-Jul-20,0.8106067
12-Aug-20,0.8022602
28-Aug-20,0.7970001
13-Sep-20,0.7770277
29-Sep-20,0.7590982
15-Oct-20,0.7239337
31-Oct-20,0.701447
16-Nov-20,0.6476619
2-Dec-20,0.6034233
18-Dec-20,0.5923588
1-Jan-21,0.592317
17-Jan-21,0.5835431
2-Feb-21,0.553788
18-Feb-21,0.5636739
6-Mar-21,0.5799912
22-Mar-21,0.6391145
7-Apr-21,0.7484768
23-Apr-21,0.7987911
9-May-21,0.7847314
25-May-21,0.7982086
10-Jun-21,0.7943877
26-Jun-21,0.8259596
12-Jul-21,0.7640584
28-Jul-21,0.8189293
13-Aug-21,0.8244103
29-Aug-21,0.8065451
14-Sep-21,0.7829748
30-Sep-21,0.7651178
16-Oct-21,0.7646099
1-Nov-21,0.7038695
17-Nov-21,0.6155903
3-Dec-21,0.6465033
19-Dec-21,0.5995961
1-Jan-22,0.6082251
17-Jan-22,0.5939876
2-Feb-22,0.555511
18-Feb-22,0.5567675
6-Mar-22,0.5487718
22-Mar-22,
